Player,Bye,Pts*,XPA,XPM,FGA,FGM,50+
Daniel Carlson,8.0,162.0,33.0,30.0,43.0,40.0,6.0
Nick Folk,14.0,160.0,47.0,42.0,39.0,36.0,5.0
Matt Gay,11.0,152.0,49.0,48.0,34.0,32.0,4.0
Chris Boswell,7.0,151.0,29.0,27.0,40.0,36.0,8.0
Matt Prater,12.0,151.0,49.0,47.0,37.0,30.0,7.0
Greg Joseph,7.0,149.0,40.0,36.0,38.0,33.0,7.0
Justin Tucker,8.0,149.0,32.0,32.0,37.0,35.0,6.0
Evan McPherson,10.0,148.0,48.0,46.0,33.0,28.0,9.0
Jake Elliott,14.0,140.0,44.0,44.0,33.0,30.0,3.0
Tyler Bass,7.0,139.0,51.0,51.0,32.0,28.0,2.0
Harrison Butker,12.0,136.0,49.0,47.0,28.0,25.0,7.0
Dustin Hopkins,7.0,134.0,44.0,40.0,34.0,30.0,2.0
Greg Zuerlein,7.0,133.0,48.0,42.0,35.0,29.0,2.0
Ryan Succop,9.0,131.0,59.0,56.0,30.0,25.0,0.0
Mason Crosby,13.0,130.0,51.0,49.0,34.0,25.0,3.0
Randy Bullock,13.0,122.0,45.0,42.0,31.0,26.0,1.0
Brandon McManus,11.0,121.0,34.0,33.0,31.0,26.0,5.0
Younghoe Koo,6.0,119.0,30.0,30.0,29.0,27.0,4.0
Graham Gano,10.0,118.0,17.0,17.0,33.0,29.0,7.0
Jason Sanders,14.0,107.0,35.0,34.0,31.0,23.0,2.0
Robbie Gould,6.0,105.0,40.0,39.0,23.0,20.0,3.0
Cairo Santos,10.0,105.0,28.0,27.0,30.0,26.0,0.0
Jason Myers,9.0,101.0,47.0,44.0,23.0,17.0,3.0
Joey Slye,9.0,95.0,22.0,18.0,25.0,23.0,4.0
Michael Badgley,14.0,94.0,41.0,40.0,22.0,18.0,0.0
Chase McLaughlin,13.0,89.0,37.0,36.0,21.0,15.0,4.0
Zane Gonzalez,13.0,88.0,23.0,22.0,22.0,20.0,3.0
Matthew Wright,7.0,84.0,15.0,13.0,24.0,21.0,4.0
Ka'imi Fairbairn,10.0,66.0,16.0,13.0,19.0,15.0,4.0
Brett Maher,6.0,58.0,12.0,10.0,18.0,16.0,0.0
Riley Patterson,9.0,55.0,16.0,16.0,14.0,13.0,0.0
Matt Ammendola,6.0,53.0,15.0,14.0,19.0,13.0,0.0
Brian Johnson,9.0,41.0,13.0,9.0,10.0,10.0,1.0
Rodrigo Blankenship,14.0,40.0,8.0,7.0,14.0,11.0,0.0
Austin Seibert,9.0,37.0,5.0,5.0,12.0,10.0,1.0
Eddy Pineiro,6.0,35.0,10.0,9.0,8.0,8.0,1.0
Tristan Vizcaino,7.0,28.0,15.0,10.0,7.0,6.0,0.0
Lirim Hajrullahu,13.0,20.0,8.0,8.0,5.0,4.0,0.0
Aldrick Rosas,9.0,20.0,14.0,14.0,5.0,2.0,0.0
Ryan Santoso,11.0,18.0,8.0,6.0,5.0,4.0,0.0
Elliott Fry,10.0,16.0,5.0,4.0,5.0,4.0,0.0
Dominik Eberle,13.0,13.0,5.0,5.0,3.0,2.0,1.0
Chris Blewitt,13.0,10.0,2.0,2.0,5.0,2.0,1.0
Josh Lambo,7.0,5.0,7.0,5.0,3.0,0.0,0.0
Chris Naggar,13.0,4.0,2.0,1.0,1.0,1.0,0.0
Cody Parkey,6.0,3.0,5.0,3.0,0.0,0.0,0.0
Alex Kessman,13.0,0.0,2.0,0.0,0.0,0.0,0.0
"KEY: XPA = Extra Points Attempted, XPM = Extra Points Made, FGA = Field Goals Attempted, FGM = Field Goals Made, 50+ = 50+ Yard Field Goals Made, Pts = Fantasy Football Points",,,,,,,
